stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
1935,1935,"Birdwood Tce at Hope Street, stop 15",,-27.471763,152.992033,1,http://translink.com.au/stop/001935/gtfs/,0,,
1907,1907,"Sylvan Rd at Bulldogs, stop 13",,-27.481012,152.992413,1,http://translink.com.au/stop/001907/gtfs/,0,,
1934,1934,"Birdwood Tce at Hope Street, stop 15",,-27.471589,152.992437,1,http://translink.com.au/stop/001934/gtfs/,0,,
1916,1916,"Milton Rd at Park Avenue, stop 11",,-27.475899,152.992775,1,http://translink.com.au/stop/001916/gtfs/,0,,
1917,1917,"Milton Rd at Park Avenue, stop 11",,-27.476007,152.992883,1,http://translink.com.au/stop/001917/gtfs/,0,,
1909,1909,Sylvan Rd,,-27.481439,152.993297,1,http://translink.com.au/stop/001909/gtfs/,0,,
1937,1937,"Birdwood Tce at Wienholt Street, stop 14",,-27.471888,152.993719,1,http://translink.com.au/stop/001937/gtfs/,0,,
1936,1936,"Birdwood Tce at Wienholt Street, stop 14",,-27.471786,152.993866,1,http://translink.com.au/stop/001936/gtfs/,0,,
1346,1346,"Elizabeth St at Rosalie, stop 10a",,-27.465041,152.995373,1,http://translink.com.au/stop/001346/gtfs/,0,,
1918,1918,"Milton Rd at Auchenflower Shops, stop 10",,-27.473854,152.995432,1,http://translink.com.au/stop/001918/gtfs/,0,,
1938,1938,"Haig Rd at Payne Street, stop 13",,-27.471242,152.995599,1,http://translink.com.au/stop/001938/gtfs/,0,,
1921,1921,"Milton Rd at Auchenflower Shops, stop 10",,-27.473572,152.996056,1,http://translink.com.au/stop/001921/gtfs/,0,,
1939,1939,"Haig Rd at Payne Street, stop 13",,-27.470384,152.996116,1,http://translink.com.au/stop/001939/gtfs/,0,,
1347,1347,"Elizabeth St at Nash Street, stop 10",,-27.465084,152.996515,1,http://translink.com.au/stop/001347/gtfs/,0,,
320480,320480,Auchenflower station - Auchenflower Tce,,-27.475666,152.996565,1,http://translink.com.au/stop/320480/gtfs/,0,place_aucsta,
320323,320323,Auchenflower station - Auchenflower Tce,,-27.475637,152.996717,1,http://translink.com.au/stop/320323/gtfs/,0,place_aucsta,
1940,1940,"Haig Rd at Torwood Park, stop 12",,-27.469895,152.996743,1,http://translink.com.au/stop/001940/gtfs/,0,,
1348,1348,"Nash St near Elizabeth St, stop 10",,-27.465367,152.996814,1,http://translink.com.au/stop/001348/gtfs/,0,,
600285,600285,"Auchenflower station, platform 3",,-27.4761,152.996863,1,http://translink.com.au/stop/600285/gtfs/,0,place_aucsta,3
